jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: Installing and starting initial bundles
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: All initial bundles installed and set to start
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Trying to lock C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\lock
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Lock acquired
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFORMACIÓN: Lock acquired. Setting startlevel to 100
2024-06-28T19:59:27,607 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.command.acl.shell} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.karaf.command.acl.shell.cfg
2024-06-28T19:59:27,607 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 5 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.2.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2024-06-28T19:59:27,619 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.management} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.karaf.management.cfg
2024-06-28T19:59:27,626 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.command.acl.bundle} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.karaf.command.acl.bundle.cfg
2024-06-28T19:59:27,634 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.features} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.karaf.features.cfg
2024-06-28T19:59:27,643 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.kar} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.karaf.kar.cfg
2024-06-28T19:59:27,652 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.karaf.features.repos} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.karaf.features.repos.cfg
2024-06-28T19:59:27,665 | INFO  | FelixStartLevel  | fileinstall                      | 18 - org.apache.felix.fileinstall - 3.7.4 | Creating configuration {org.apache.felix.eventadmin.impl.EventAdmin} from C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\etc\org.apache.felix.eventadmin.impl.EventAdmin.cfg
2024-06-28T19:59:29,135 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Adding features: package/[4.4.6,4.4.6],bundle/[4.4.6,4.4.6],feature/[4.4.6,4.4.6],deployer/[4.4.6,4.4.6],diagnostic/[4.4.6,4.4.6],ssh/[4.4.6,4.4.6],framework/[4.4.6,4.4.6],kar/[4.4.6,4.4.6],management/[4.4.6,4.4.6],eventadmin/[4.4.6,4.4.6],log/[4.4.6,4.4.6],config/[4.4.6,4.4.6],shell/[4.4.6,4.4.6],instance/[4.4.6,4.4.6],jaas/[4.4.6,4.4.6],wrap/[2.6.14,2.6.14],system/[4.4.6,4.4.6],service/[4.4.6,4.4.6]
2024-06-28T19:59:29,574 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Changes to perform:
2024-06-28T19:59:29,574 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   Region: root
2024-06-28T19:59:29,574 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |     Bundles to install:
2024-06-28T19:59:29,575 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.77
2024-06-28T19:59:29,575 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcprov-jdk18on/1.77
2024-06-28T19:59:29,575 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcutil-jdk18on/1.77
2024-06-28T19:59:29,575 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2024-06-28T19:59:29,575 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2024-06-28T19:59:29,576 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
